Name;Address;Type;DefaultValue;Mapping
VendorName;;Single;Hirschmann;VendorName
DeviceName;1.3.6.1.2.1.1.5.0;Single;SNMPDevice;HwProduct.0/ProdCompName
Location;1.3.6.1.2.1.1.6.0;Single;;LocationName
HardwareId;1.3.6.1.4.1.248.16.100.2.1.0;Single;;AssetUuid
DeviceFamily;;Single;Hirschmann;DeviceFamily
DeviceModel;1.3.6.1.4.1.248.11.101.1.3.1.7.0;Single;;DeviceModel
SerialNumber;1.3.6.1.4.1.248.11.3.1.1.1.0;Single;;HwProduct.0/ProdCompSerialNumber
OrderNumber;1.3.6.1.4.1.248.11.10.1.1.2.0;Single;;HwProduct.0/ProdCompOrderNumber
HwVersion;1.3.6.1.4.1.248.11.10.1.4.1.0;Single;;HwProduct.0/ProdCompVersion
FwVersion;1.3.6.1.4.1.248.16.100.1.4.0;Single;;FwSwComponent.0/ProdCompVersion
FwName;;Single;Device Firmware;FwSwComponent.0/ProdCompName
FwDescription;;Single;Device Firmware;FwSwComponent.0/ProdCompDescription
MacAddress;1.3.6.1.4.1.248.16.100.1.2.0;Single;;NetworkComponent.0/ProdNetworkCompMACAddr

